n,base_sku,base_asin,base_item_name,base_status,am_sku,am_exists,am_asin,am_item_name,am_status,am_created_date,classification,notes
1,38-1,B01MT9S8KL,"Magnet Me Up I Love Alabama, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-1AM,YES,B01MT9S8KL,"Magnet Me Up I Love Alabama, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:03:42.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-1-P parent."
2,38-2,B01MR6PLHI,"Magnet Me Up I Love Alaska, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-2AM,YES,B01MR6PLHI,"Magnet Me Up I Love Alaska, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:04:51.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-2-P parent."
3,38-3,B01NBVG47Z,"Magnet Me Up I Love Arizona, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-3AM,YES,B01NBVG47Z,"Magnet Me Up I Love Arizona, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:06:19.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-3-P parent."
4,38-4,B01MT9SGXI,"Magnet Me Up I Love Arkansas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-4AM,YES,B01MT9SGXI,"Magnet Me Up I Love Arkansas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:09:10.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-4-P parent."
5,38-5,B01N6RNKKS,"Magnet Me Up I Love California, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-5AM,YES,B01N6RNKKS,"Magnet Me Up I Love California, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:10:22.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-5-P parent."
6,38-6,B01N5Q2LEQ,"Magnet Me Up I Love Colorado, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-6AM,YES,B01N5Q2LEQ,"Magnet Me Up I Love Colorado, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:11:33.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-6-P parent."
7,38-7,B01MZAHO4A,"Magnet Me Up I Love Connecticut, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-7AM,YES,B01MZAHO4A,"Magnet Me Up I Love Connecticut, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:12:44.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-7-P parent."
8,38-8,B01MY8YOZ1,"Magnet Me Up I Love Delaware, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-8AM,YES,B01MY8YOZ1,"Magnet Me Up I Love Delaware, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:14:17.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-8-P parent."
9,38-9,B01MUBFBJ8,"Magnet Me Up I Love Florida, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-9AM,YES,B01MUBFBJ8,"Magnet Me Up I Love Florida, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:15:26.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-9-P parent."
10,38-10,B01NCW4I3Z,"Magnet Me Up I Love Georgia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-10AM,YES,B01NCW4I3Z,"Magnet Me Up I Love Georgia, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:16:34.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-10-P parent."
11,38-11,B01N11NESW,"Magnet Me Up I Love Hawaii, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-11AM,YES,B01N11NESW,"Magnet Me Up I Love Hawaii, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:18:18.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-11-P parent."
12,38-12,B01N11NEZ4,"Magnet Me Up I Love Idaho, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-12AM,YES,B01N11NEZ4,"Magnet Me Up I Love Idaho, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:19:28.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-12-P parent."
13,38-13,B01NCW3LS4,"Magnet Me Up I Love Illinois, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-13AM,YES,B01NCW3LS4,"Magnet Me Up I Love Illinois, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:21:16.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-13-P parent."
14,38-14,B01NBVGEDV,"Magnet Me Up I Love Indiana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-14AM,YES,B01NBVGEDV,"Magnet Me Up I Love Indiana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:23:09.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-14-P parent."
15,38-15,B01MY8YWAR,"Magnet Me Up I Love Iowa, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-15AM,YES,B01MY8YWAR,"Magnet Me Up I Love Iowa, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:24:21.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-15-P parent."
16,38-16,B01MUBFEF8,"Magnet Me Up I Love Kansas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-16AM,YES,B01MUBFEF8,"Magnet Me Up I Love Kansas, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:26:05.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-16-P parent."
17,38-17,B01N234K6U,"Magnet Me Up I Love Kentucky, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-17AM,YES,B01N234K6U,"Magnet Me Up I Love Kentucky, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:27:08.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-17-P parent."
18,38-18,B01MR6PQPD,"Magnet Me Up I Love Louisiana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-18AM,YES,B01MR6PQPD,"Magnet Me Up I Love Louisiana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,2017-01-18T16:28:13.000Z,UNCLEAR,"AM status includes BUYABLE unlike the other 52 (which are DISCOVERABLE-only) - a live duplicate offer for the same ASIN under two SKUs. am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-18-P parent."
19,38-19,B01MZAHVTF,"Magnet Me Up I Love Maine, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-19AM,YES,B01MZAHVTF,"Magnet Me Up I Love Maine, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:29:39.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-19-P parent."
20,38-20,B01MZAHXAA,"Magnet Me Up I Love Maryland, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-20AM,YES,B01MZAHXAA,"Magnet Me Up I Love Maryland, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:31:23.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-20-P parent."
21,38-21,B01MT9SPNB,"Magnet Me Up I Love Kentucky, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-21AM,YES,B01MT9SPNB,"Magnet Me Up I Love Kentucky, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:32:20.000Z,LEGACY_SAME_ASIN_DORMANT,"Base item_name says 'Kentucky' (duplicate of N=17's title/state) though alphabetical sequence in this 2017 50-state series implies this slot should be Massachusetts; Massachusetts does not appear anywhere in SKUs 1-50. Pre-existing 2017 catalog data anomaly, unrelated to the 2-pack project. am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-21-P parent."
22,38-22,B01NBVGN4B,"Magnet Me Up I Love Michigan, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-22AM,YES,B01NBVGN4B,"Magnet Me Up I Love Michigan, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:33:50.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-22-P parent."
23,38-23,B01N11NLM0,"Magnet Me Up I Love Minnesota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-23AM,YES,B01N11NLM0,"Magnet Me Up I Love Minnesota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:35:17.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-23-P parent."
24,38-24,B01MY8Z19X,"Magnet Me Up I Love Mississippi, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-24AM,YES,B01MY8Z19X,"Magnet Me Up I Love Mississippi, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:36:36.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-24-P parent."
25,38-25,B01NCWLQYF,"Magnet Me Up I Love Missouri, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-25AM,YES,B01NCWLQYF,"Magnet Me Up I Love Missouri, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:37:52.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-25-P parent."
26,38-26,B01MTA2GD1,"Magnet Me Up I Love Montana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-26AM,YES,B01MTA2GD1,"Magnet Me Up I Love Montana, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:44:22.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-26-P parent."
27,38-27,B01N7T60SX,"Magnet Me Up I Love Nebraska, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-27AM,YES,B01N7T60SX,"Magnet Me Up I Love Nebraska, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:45:25.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-27-P parent."
28,38-28,B01N34X8D8,I Love Nevada Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-28AM,YES,B01N34X8D8,I Love Nevada Car Magnet 3x8 Inch,DISCOVERABLE,2017-01-18T16:47:28.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-28-P parent."
29,38-29,B01N7T6VEO,"Magnet Me Up I Love New Hampshire, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-29AM,YES,B01N7T6VEO,"Magnet Me Up I Love New Hampshire, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:48:43.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-29-P parent."
