check_group,ASIN,Family,30d Sales,Why Medium,original_title,new_title,title_chars,item_highlights,status,notes,JOVELOVE_VERDICT,proposed title/correction,item highlights
1-CRUISE_PLACEHOLDER,B0GPRCPJXY,Cruise,35.98,"cruise design text could not be isolated, placeholder used","Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -8"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",59,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",
1-CRUISE_PLACEHOLDER,B0GPRTFYFK,Cruise,23.99,"cruise design text could not be isolated, placeholder used","Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -12"" Inches, Personalized Magnet with Photo, Name & Birthda","Custom Cruise Door Magnet 12 Inch, Personalized, Made in USA",60,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Birthday Custom Cruise Door Magnet 12 Inch, Personalized, Made in USA",
1-CRUISE_PLACEHOLDER,B0GLHYCFSX,Cruise,21.99,"cruise design text could not be isolated, placeholder used","Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -9x10 Inches, Personalized Magnet with Photo, Name & Birthd","Custom Cruise Door Magnet 9x10 Inch, Personalized, Made in USA",62,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Birthday Custom Cruise Door Magnet 10 Inch, Personalized, Made in USA",
1-CRUISE_PLACEHOLDER,B0BY3B9FL5,Cruise,8.99,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up This Side Up Right Side Up Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Heavy Duty Automotive Magnet f","This Side Up Right Side Up Cruise Door Magnet 3x6 Inch, Personalized",68,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0F1NJWF6B,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 8x10 Inch, Personalized Cruise Door Mag","Friends Don't Let Friends Alone Cruise Door Magnet 8x10 Inch, Personalized",74,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,ok,,
1-CRUISE_PLACEHOLDER,B0F1NJTH4K,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 6.5x7.5 Inch, Personalized Cruise Door","Friends Don't Let Friends Cruise Door Magnet 6.5x7.5 Inch, Personalized",71,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,ok,,
1-CRUISE_PLACEHOLDER,B0GN4J3D81,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 10 Inch, Personalized with Name, Magn","Custom Cruise Door Magnet 10 Inch, Personalized, Made in USA",60,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Cruise Door Magnet 10 Inch, Personalized, Tropical Pineapple Club","Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA"
1-CRUISE_PLACEHOLDER,B0GN5BDL46,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 8 Inch, Personalized with Name, Magne","Tropical Pineapple Custom Cruise Door Magnet 8 Inch, Personalized",65,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Cruise Door Magnet 8 Inch, Personalized, Tropical Pineapple Club","Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA"
1-CRUISE_PLACEHOLDER,B0GHS1JF73,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 6 Inch, Personalized with Name, Magne","Custom Cruise Door Magnet 6 Inch, Personalized, Made in USA",59,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Cruise Door Magnet 6 Inch, Personalized, Tropical Pineapple Club","Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA"
1-CRUISE_PLACEHOLDER,B0GN3TLM47,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 12 Inch, Personalized with Name, Magn","Tropical Pineapple Custom Cruise Door Magnet 12 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Cruise Door Magnet 12 Inch, Personalized, Tropical Pineapple Club","Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA"
