check_group,ASIN,live_title,live_title_chars,live_status,price,sku,parent_asin,bullet_points,planned_final_title,title_already_final,updated_at
1-CRUISE_PLACEHOLDER,B0GPRCPJXY,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -8"" Inches, Personalized Magnet with Photo, Name & Birthdate - UV Printed Refrigerator & Cruise Door Decor - Made in USA",181,Active,17.99,CCRUISE-48,B0GLKFVNTX,"𝗖𝘂𝘀𝘁𝗼𝗺 𝗰𝗿𝘂𝗶𝘀𝗲 𝘀𝗵𝗶𝗽 𝗯𝗶𝗿𝘁𝗵𝗱𝗮𝘆 𝗺𝗮𝗴𝗻𝗲𝘁 - Personalized cruise ship magnet featuring a fun birthday cake theme, customized with your photo, name, and birthdate to create a memorable decoration and keepsake for birthday cruises. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0GPRTFYFK,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -12"" Inches, Personalized Magnet with Photo, Name & Birthdate - UV Printed Refrigerator & Cruise Door Decor - Made in USA",182,Active,23.99,CCRUISE-49,B0GLKFVNTX,"𝗖𝘂𝘀𝘁𝗼𝗺 𝗰𝗿𝘂𝗶𝘀𝗲 𝘀𝗵𝗶𝗽 𝗯𝗶𝗿𝘁𝗵𝗱𝗮𝘆 𝗺𝗮𝗴𝗻𝗲𝘁 - Personalized cruise ship magnet featuring a fun birthday cake theme, customized with your photo, name, and birthdate to create a memorable decoration and keepsake for birthday cruises. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Birthday Cruise Door Magnet 12 Inch, Personalized, Made in USA",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0GLHYCFSX,"Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -9x10 Inches, Personalized Magnet with Photo, Name & Birthdate - UV Printed Refrigerator & Cruise Door Decor - Made in USA",183,Active,21.99,CCRUISE-22,B0GLKFVNTX,"𝗖𝘂𝘀𝘁𝗼𝗺 𝗰𝗿𝘂𝗶𝘀𝗲 𝘀𝗵𝗶𝗽 𝗯𝗶𝗿𝘁𝗵𝗱𝗮𝘆 𝗺𝗮𝗴𝗻𝗲𝘁 - Personalized cruise ship magnet featuring a fun birthday cake theme, customized with your photo, name, and birthdate to create a memorable decoration and keepsake for birthday cruises. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Birthday Cruise Door Magnet 10 Inch, Personalized, Made in USA",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0BY3B9FL5,"Magnet Me Up This Side Up Right Side Up Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Heavy Duty Automotive Magnet for Car, Truck, SUV, Cruise Ship Door, Any Magnetic Surface, Crafted in USA",194,Active,8.99,M-98,B0BPVLGK2Y,"Dress up your space; we have a design for every personality. Whether you want to show pride for your country, make the driver behind you smile, or give an awesome gift, we have something for everyone | Crafted from strong and durable magnetic vinyl; this ensures that the magnet adheres securely to metal surfaces and will maintain its magnetic strength over time. Our magnets are waterproof and heat resistant, which makes them ideal for outdoor use. We make our magnets with UV-resistant inks so that they do not fade over time from sun exposure | Endless possibilities; our heavy-duty magnets are ideal for use on cars, trucks, SUVs, mailboxes, refrigerators, toolboxes, etc. Easily removable and reusable, you can proudly display this flexible magnet in a plethora of spaces. Please ensure that your surface is composed of steel rather than fiberglass, plastic, or aluminum. Magnets will not stick to non-metal surfaces | Crafted in the USA; we uphold our commitment to American craftsmanship by producing all our products in the USA | Quality and satisfaction assurance; we manufacture our magnets to meet high standards. If you experience anything less than perfection, we ask for you to reach out to us so we can make it right","This Side Up Right Side Up Cruise Door Magnet 3x6 Inch, Personalized",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0F1NJWF6B,"Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 8x10 Inch, Personalized Cruise Door Magnet for Ships, Cabin Decoration – Add Your Own Text – Full-Color, Made in USA",197,Active,19.99,CCRUISE-12,B0GKQ4J9QM,"Embrace the spirit of adventure with our customizable wanderlust compass magnet; navigate your way through life's adventures with our enchanting magnet. Crafted for the free spirits and intrepid explorers, this magnet serves as a beacon of wanderlust and a reminder that every journey is a treasure trove of discovery. | Versatile and durable; made from high-quality magnetic vinyl, our custom magnets stick to refrigerators, lockers, and more. They're waterproof, heat-resistant, and even suitable for outdoor use. | Special event ready; use our customizable magnets for save the dates, invites and so much more ensuring your loved ones never miss a gathering. | Vibrant and resilient; our cuise ship magnet boasts high-resolution printing on 30 mil thick magnetic vinyl. UV-resistant inks ensure a fade-resistant, colorful finish. | Gifts and decor; personalized magnets make excellent gifts, perfect for home decoration, lockers, name tags, and offices. Surprise your loved ones with cherished memories.","Friends Don't Let Friends Alone Cruise Door Magnet 8x10 Inch, Personalized",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0F1NJTH4K,"Magnet Me Up Friends Don't Let Friends Cruise Alone Custom Text Magnetic Decal – 6.5x7.5 Inch, Personalized Cruise Door Magnet for Ships, Cabin Decoration – Add Your Own Text – Full-Color, Made in USA",200,Active,17.99,CCRUISE-11,B0GKQ4J9QM,"🧲 Embrace the spirit of adventure with our customizable wanderlust compass magnet; navigate your way through life's adventures with our enchanting magnet. Crafted for the free spirits and intrepid explorers, this magnet serves as a beacon of wanderlust and a reminder that every journey is a treasure trove of discovery. | 🧲 Versatile and durable; made from high-quality magnetic vinyl, our custom magnets stick to refrigerators, lockers, and more. They're waterproof, heat-resistant, and even suitable for outdoor use. | 🧲 Special event ready; use our customizable magnets for save the dates, invites and so much more ensuring your loved ones never miss a gathering. | 🧲 Vibrant and resilient; our cruise ship magnet boasts high-resolution printing on 30 mil thick magnetic vinyl. UV-resistant inks ensure a fade-resistant, colorful finish. | 🧲 Gifts and decor; personalized magnets make excellent gifts, perfect for home decoration, lockers, name tags, and offices. Surprise your loved ones with cherished memories.","Friends Don't Let Friends Cruise Door Magnet 6.5x7.5 Inch, Personalized",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0GN4J3D81,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 10 Inch, Personalized with Name, Magnetic Sign for Cruise Ship Stateroom Door, Vacation Party Decor, Made in USA",195,Active,21.99,CCRUISE-36,B0GN44HJVX,"𝗜𝗱𝗲𝗻𝘁𝗶𝗳𝘆 𝗬𝗼𝘂𝗿 𝗖𝗮𝗯𝗶𝗻 𝗜𝗻𝘀𝘁𝗮𝗻𝘁𝗹𝘆- Don’t get lost in the sea of identical hallways! This large, colorful magnet makes it easy for family and friends to spot your stateroom from a distance, adding a personal touch to your home away from home. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Cruise Door Magnet 10 Inch, Personalized, Tropical Pineapple Club",NO,2026-09-01T08:26:27.800Z
1-CRUISE_PLACEHOLDER,B0GN5BDL46,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 8 Inch, Personalized with Name, Magnetic Sign for Cruise Ship Stateroom Door, Vacation Party Decor, Made in USA",194,Active,17.99,CCRUISE-35,B0GN44HJVX,"𝗜𝗱𝗲𝗻𝘁𝗶𝗳𝘆 𝗬𝗼𝘂𝗿 𝗖𝗮𝗯𝗶𝗻 𝗜𝗻𝘀𝘁𝗮𝗻𝘁𝗹𝘆- Don’t get lost in the sea of identical hallways! This large, colorful magnet makes it easy for family and friends to spot your stateroom from a distance, adding a personal touch to your home away from home. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Cruise Door Magnet 8 Inch, Personalized, Tropical Pineapple Club",NO,2026-09-01T08:26:27.800Z
1-CRUISE_PLACEHOLDER,B0GHS1JF73,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 6 Inch, Personalized with Name, Magnetic Sign for Cruise Ship Stateroom Door, Vacation Party Decor, Made in USA",194,Active,14.99,CCRUISE-21,B0GN44HJVX,"𝗜𝗱𝗲𝗻𝘁𝗶𝗳𝘆 𝗬𝗼𝘂𝗿 𝗖𝗮𝗯𝗶𝗻 𝗜𝗻𝘀𝘁𝗮𝗻𝘁𝗹𝘆- Don’t get lost in the sea of identical hallways! This large, colorful magnet makes it easy for family and friends to spot your stateroom from a distance, adding a personal touch to your home away from home. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Cruise Door Magnet 6 Inch, Personalized, Tropical Pineapple Club",NO,2026-09-01T08:33:18.602Z
1-CRUISE_PLACEHOLDER,B0GN3TLM47,"Magnet Me Up Cruise Door Magnets 2026 - Tropical Pineapple Club Cabin Decorations- 12 Inch, Personalized with Name, Magnetic Sign for Cruise Ship Stateroom Door, Vacation Party Decor, Made in USA",195,Active,23.99,CCRUISE-37,B0GN44HJVX,"𝗜𝗱𝗲𝗻𝘁𝗶𝗳𝘆 𝗬𝗼𝘂𝗿 𝗖𝗮𝗯𝗶𝗻 𝗜𝗻𝘀𝘁𝗮𝗻𝘁𝗹𝘆- Don’t get lost in the sea of identical hallways! This large, colorful magnet makes it easy for family and friends to spot your stateroom from a distance, adding a personal touch to your home away from home. | 𝗛𝗲𝗮𝘃𝘆-𝗗𝘂𝘁𝘆 𝟯𝟬 𝗠𝗶𝗹 𝗠𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗩𝗶𝗻𝘆𝗹 - Thick, durable magnetic material designed to hold securely on cruise ship doors and other metal surfaces. | 𝗙𝗮𝗱𝗲-𝗥𝗲𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝗨𝗩 𝗣𝗿𝗶𝗻𝘁𝗶𝗻𝗴 – Professionally printed with UV ink to ensure vibrant colors that won’t fade in sun or ocean light. | 𝗣𝗲𝗿𝗳𝗲𝗰𝘁 𝗳𝗼𝗿 𝗖𝗿𝘂𝗶𝘀𝗲𝘀 & 𝗧𝗿𝗮𝘃𝗲𝗹 – Great for decorating cruise cabin doors, lockers, or metal surfaces to easily spot your room. Designed and printed in the United States | 𝗣𝗿𝗼𝗽𝗲𝗿 𝗨𝘀𝗲 & 𝗖𝗮𝗿𝗲 – Designed for clean, flat, dry metal surfaces; for best results, remove weekly to clean both the magnet and surface. Friendly reminder: please confirm your cruise door or surface is magnetic prior to ordering.","Custom Cruise Door Magnet 12 Inch, Personalized, Tropical Pineapple Club",NO,2026-09-01T08:26:27.800Z
