sku,asin,title,title_chars,source
M-98,B0BY3B9FL5,This Side Up Right Side Up Cruise Door Magnet 3x6 Inch,54,jovelove_email_fix
M-101AM,B0BY3FYQQC,This Side Up Right Side Up Cruise Door Magnet 4x8 Inch,54,jovelove_email_fix
CCRUISE-11,B0F1NJTH4K,"Friends Don't Let Friends Cruise Door Magnet 6.5x7.5 Inch, Personalized",71,flatfile_v1.1
CCRUISE-12,B0F1NJWF6B,"Friends Don't Let Friends Alone Cruise Door Magnet 8x10 Inch, Personalized",74,flatfile_v1.1
CCRUISE-21,B0GHS1JF73,"Custom Cruise Door Magnet 6 Inch, Personalized, Tropical Pineapple Club",71,flatfile_v1.1
CCRUISE-48,B0GPRCPJXY,"Custom Birthday Cake Cruise Door Magnet 8 Inch, Personalized, Made in USA",73,family_consistency_cake_FLAGGED
P-10,B01HGZX8PK,"American Flag Pawprint Car Magnet, Red White & Blue",51,flatfile_v1.1
P-10AM,B01HGZX8PK,"American Flag Pawprint Car Magnet, Red White & Blue",51,flatfile_v1.1
O-3,B071VW9RGR,"26.2 Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",57,flatfile_v1.1
O-3AM,B071VW9RGR,"26.2 Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",57,flatfile_v1.1
O-1,B072FKY9B3,"13.1 Half Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",62,flatfile_v1.1
O-1AM,B072FKY9B3,"13.1 Half Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",62,flatfile_v1.1
38-76,B075GWQ8S2,"Adhesive Bandage Symbol Car Magnet 3x8 Inch, Made in USA",56,flatfile_v1.1
38-76AM,B075GWQ8S2,"Adhesive Bandage Symbol Car Magnet 3x8 Inch, Made in USA",56,flatfile_v1.1
P-59,B076HZBQ47,"My Dog is Smarter Than The President Car Magnet 5 Inch, Dog Lover Gift",70,flatfile_v1.1
P-59AM,B076HZBQ47,"My Dog is Smarter Than The President Car Magnet 5 Inch, Dog Lover Gift",70,flatfile_v1.1
38-82,B07C598SXV,Coexist Symbol Car Magnet 3x8 Inch,34,flatfile_v1.1
38-82AM,B07C598SXV,Coexist Symbol Car Magnet 3x8 Inch,34,flatfile_v1.1
38-84,B07LHKFP2G,"Healing Adhesive Bandage Symbol Car Magnet 3x8 Inch 2 Pack, Made in USA",71,flatfile_v1.1
38-84AM,B07LHKFP2G,"Healing Adhesive Bandage Symbol Car Magnet 3x8 Inch 2 Pack, Made in USA",71,flatfile_v1.1
38-89,B083C4ZNXK,Just Married Car Magnet 3x8 Inch,32,flatfile_v1.1
38-89AM,B083C4ZNXK,Just Married Car Magnet 3x8 Inch,32,flatfile_v1.1
38-93,B09T53542R,Ouch Band Aid Car Magnet 3x8 Inch,33,flatfile_v1.1
38-93AM2,B09T53542R,Ouch Band Aid Car Magnet 3x8 Inch,33,flatfile_v1.1
M-73,B0B3NHJ25D,Ice Cream On Board Car Magnet 5x5 Inch,38,flatfile_v1.1
M-73AM,B0B3NHJ25D,Ice Cream On Board Car Magnet 5x5 Inch,38,flatfile_v1.1
38-104,B0BLHZL16L,Elderly Driver Please Be Patient Car Magnet 3x8 Inch,52,flatfile_v1.1
38-104AM,B0BLHZL16L,Elderly Driver Please Be Patient Car Magnet 3x8 Inch,52,flatfile_v1.1
C6RO,B0CBL2R5WZ,"Customizable Round Magnet 6 Inch, Made in USA",45,flatfile_v1.1
C5INR-25,B0CPYJTR7L,"Customizable Round Magnet 5 Inch 25 Pack, Made in USA",53,flatfile_v1.1
C5INR-100,B0CPYK1VGF,"Customizable Round Magnet 5 Inch 100 pc, Made in USA",52,flatfile_v1.1
C5INR-50,B0CPYL2R1D,"Customizable Round Magnet 5 Inch 50 pc, Made in USA",51,flatfile_v1.1
C46O-100,B0CXF9TFCK,"Customizable Oval Magnet 4x6 Inch 100 pc, Made in USA",53,flatfile_v1.1
C5RO-5,B0CZ7NRVCX,"Custom Round Car Magnet 5 Inch 5 Pack, Made in USA",50,flatfile_v1.1
C6RO-5,B0CZPCC8B8,"Customizable Round Magnet 6 Inch 5 Pack, Made in USA",52,flatfile_v1.1
C5INR-250,B0D9MDF94J,"Customizable Round Magnet 5 Inch 250 Pack, Made in USA",54,flatfile_v1.1
C6INR-100,B0DB8W448N,"Customizable Round Magnet 6 Inch 100 Pack, Made in USA",54,flatfile_v1.1
CDIEC-5,B0DNKPPW1Q,"Custom Die Cut Car Magnet 30 Mil, Upload Logo, Made in USA",58,flatfile_v1.1
38-127,B0FSTGVRYR,Don’t Honk at Me My Dad is Dead 8x3 Inch Dark Humor Gag Gift Magnet,67,flatfile_v1.1
38-127AM,B0FSTGVRYR,Don’t Honk at Me My Dad is Dead 8x3 Inch Dark Humor Gag Gift Magnet,67,flatfile_v1.1
38-139AM,B0G2N1KJTL,"Please Be Patient Driver Is Blind Car Magnet 3x8 Inch, Funny Gift, USA Made",75,flatfile_v1.1
5R-158,B0G6G3LTY5,"I Choose Violence Frog Round Locker Magnet 5 Inch, Funny Gift, Made in USA",74,flatfile_v1.1
5R-158AM,B0G6G3LTY5,"I Choose Violence Frog Round Locker Magnet 5 Inch, Funny Gift, Made in USA",74,flatfile_v1.1
C5INR-500,B0H12WLCJZ,"Customizable Round Magnet 5 Inch 500 Pack, Made in USA",54,flatfile_v1.1
38-32,B01N11XF8C,I Love New York Car Magnet 3x8 Inch,35,flatfile_v1.1
38-28,B01N34X8D8,I Love Nevada Car Magnet 3x8 Inch,33,flatfile_v1.1
O-88,B07236TYZF,"10K Marathon Inverted Black Oval Car Magnet 4x6 Inch, Made in USA",65,flatfile_v1.1
O-115,B076JKYRY2,5K Marathon Black Stencil Oval Car Magnet 4x6 Inch,50,flatfile_v1.1
R-33,B076PVFRK4,Breast Cancer Survivor Pink Ribbon Car Magnet 3.5x7 Inch,56,flatfile_v1.1
R-33AM,B076PVFRK4,Breast Cancer Survivor Pink Ribbon Car Magnet 3.5x7 Inch,56,flatfile_v1.1
O-160,B07JCFCJJF,13.1 Half Marathon Black Oval Car Magnet 4x6 Inch 2 Pack,56,flatfile_v1.1
O-160AM,B07JCFCJJF,13.1 Half Marathon Black Oval Car Magnet 4x6 Inch 2 Pack,56,flatfile_v1.1
O-163,B07JCFR7V1,"Soccer Mom Sports Oval Car Magnet 4x6 Inch 2 Pack, Pink, Made in USA",68,flatfile_v1.1
R-62,B09QRLMJHZ,"Head and Neck Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",64,flatfile_v1.1
R-62AM,B09QRLMJHZ,"Head and Neck Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",64,flatfile_v1.1
R-52,B0BGT4QJZ5,Support Breast Cancer Awareness Pink Ribbon Car Magnet 3.5x7 Inch 2 Pack,72,flatfile_v1.1
R-52AM,B0BGT4QJZ5,Support Breast Cancer Awareness Pink Ribbon Car Magnet 3.5x7 Inch 2 Pack,72,flatfile_v1.1
O-207,B0BZJVDCBR,Canada Canadian Euro Oval Car Magnet 4x6 Inch,45,flatfile_v1.1
O-207AM,B0BZJVDCBR,Canada Canadian Euro Oval Car Magnet 4x6 Inch,45,flatfile_v1.1
MDO-02,B0CLFMMRXM,"13.1 Half Marathon Inverted Black Oval Decal Stickers, 5.5x3.5 Inch 2 Pack",74,flatfile_v1.1
O-253,B0CZ4LD67D,"Nebraska Chimney Rock State Scenic Oval Car Magnet 4x6 Inch, Made in USA",72,flatfile_v1.1
O-260,B0D5BSSP74,"Pennsylvania Liberty Bell State Oval Car Magnet 4x6 Inch, Made in USA",69,flatfile_v1.1
O-341,B0DW19FQLX,"I Love My Chicken Car Magnet 4x6 Inch Oval, Funny Gift, Made in USA",67,flatfile_v1.1
M-254,B0F257VKSD,"Wild Horse Kick Funny Car Magnet 5 Inch, Funny Gift, Pink Unicorn",65,flatfile_v1.1
5R-105,B0F3W996TR,"Hands Off Social Security Car Magnet 5 Inch Round, Made in USA",62,flatfile_v1.1
M-264,B0F8RCHHM7,"Alabama State Fridge Magnet 6x4 Inch, Made in USA",49,flatfile_v1.1
V-3,B0F94K3RNC,"Magnetic Vent Cover 13x6 Inch Fits 12x5.5 Vents, 3 Pack",55,flatfile_v1.1
