TemplateType=fptcustom	Version=2021.0805				
feed_product_type	item_sku	external_product_id	external_product_id_type	item_name	update_delete
Product Type	Seller SKU	Product ID	Product ID Type	Product Name	Update Delete
auto_accessory	M-98	B0BY3B9FL5	ASIN	This Side Up Right Side Up Cruise Door Magnet 3x6 Inch, Personalized	PartialUpdate
auto_accessory	M-101AM	B0BY3FYQQC	ASIN	This Side Up Right Side Up Cruise Door Magnet 4x8 Inch, Personalized	PartialUpdate
auto_accessory	CCRUISE-11	B0F1NJTH4K	ASIN	Friends Don't Let Friends Cruise Door Magnet 6.5x7.5 Inch, Personalized	PartialUpdate
auto_accessory	CCRUISE-12	B0F1NJWF6B	ASIN	Friends Don't Let Friends Alone Cruise Door Magnet 8x10 Inch, Personalized	PartialUpdate
auto_accessory	CCRUISE-21	B0GHS1JF73	ASIN	Custom Cruise Door Magnet 6 Inch, Personalized, Tropical Pineapple Club	PartialUpdate
auto_accessory	CCRUISE-48	B0GPRCPJXY	ASIN	Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA	PartialUpdate
auto_accessory	P-10	B01HGZX8PK	ASIN	American Flag Pawprint Car Magnet, Red White & Blue	PartialUpdate
auto_accessory	P-10AM	B01HGZX8PK	ASIN	American Flag Pawprint Car Magnet, Red White & Blue	PartialUpdate
auto_accessory	O-3	B071VW9RGR	ASIN	26.2 Marathon Black Oval Car Magnet 4x6 Inch, Made in USA	PartialUpdate
auto_accessory	O-3AM	B071VW9RGR	ASIN	26.2 Marathon Black Oval Car Magnet 4x6 Inch, Made in USA	PartialUpdate
auto_accessory	O-1	B072FKY9B3	ASIN	13.1 Half Marathon Black Oval Car Magnet 4x6 Inch, Made in USA	PartialUpdate
auto_accessory	O-1AM	B072FKY9B3	ASIN	13.1 Half Marathon Black Oval Car Magnet 4x6 Inch, Made in USA	PartialUpdate
auto_accessory	38-76	B075GWQ8S2	ASIN	Adhesive Bandage Symbol Car Magnet 3x8 Inch, Made in USA	PartialUpdate
auto_accessory	38-76AM	B075GWQ8S2	ASIN	Adhesive Bandage Symbol Car Magnet 3x8 Inch, Made in USA	PartialUpdate
auto_accessory	P-59	B076HZBQ47	ASIN	My Dog is Smarter Than The President Car Magnet 5 Inch, Dog Lover Gift	PartialUpdate
auto_accessory	P-59AM	B076HZBQ47	ASIN	My Dog is Smarter Than The President Car Magnet 5 Inch, Dog Lover Gift	PartialUpdate
auto_accessory	38-82	B07C598SXV	ASIN	Coexist Symbol Car Magnet 3x8 Inch	PartialUpdate
auto_accessory	38-82AM	B07C598SXV	ASIN	Coexist Symbol Car Magnet 3x8 Inch	PartialUpdate
