check_group,ASIN,skus,Family,30d_sales,final_title,title_chars,final_item_highlights,title_source,flags,processing_notes,why_left_out
1-CRUISE_PLACEHOLDER,B0GPRTFYFK,CCRUISE-49,Cruise,23.99,"Custom Birthday Cruise Door Magnet 12 Inch, Personalized, Made in USA",69,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,TRIMMED_OVER_75,Reviewer title was 76 chars; dropped duplicate 'Custom' to fit 75,AUTO_FIXED_NEEDS_CONFIRM: Reviewer title was 76 chars; dropped duplicate 'Custom' to fit 75
1-CRUISE_PLACEHOLDER,B0GLHYCFSX,CCRUISE-22,Cruise,21.99,"Custom Birthday Cruise Door Magnet 10 Inch, Personalized, Made in USA",69,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,TRIMMED_OVER_75,"Reviewer title was 76 chars (also changed 9x10 -> 10, kept per reviewer); dropped duplicate 'Custom' to fit 75","AUTO_FIXED_NEEDS_CONFIRM: Reviewer title was 76 chars (also changed 9x10 -> 10, kept per reviewer); dropped duplicate 'Custom' to fit 75"
1-CRUISE_PLACEHOLDER,B0GN4J3D81,,Cruise,0,"Custom Cruise Door Magnet 10 Inch, Personalized, Tropical Pineapple Club",72,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0GN5BDL46,,Cruise,0,"Custom Cruise Door Magnet 8 Inch, Personalized, Tropical Pineapple Club",71,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0GN3TLM47,,Cruise,0,"Custom Cruise Door Magnet 12 Inch, Personalized, Tropical Pineapple Club",72,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, Made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0BY393FRY,,Cruise,0,"Combo This Side Up Right Cruise Door Magnet 3x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0BY3B9TDM,,Cruise,0,"Combo This Side Up Right Cruise Door Magnet 4x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0BY3DK6PB,,Cruise,0,"This Side Up Upside Down Cruise Door Magnet 3x6 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0BY3C9JDG,,Cruise,0,"This Side Up Upside Down Cruise Door Magnet 4x8 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
1-CRUISE_PLACEHOLDER,B0GPRLBPFX,CCRUISE-46,Cruise,0,"Custom Birthday Custom Cruise Door Magnet 5 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,SIZE_CORRECTED,Reviewer title said 8 Inch but this is the 5 Inch listing; size restored,AUTO_FIXED_NEEDS_CONFIRM: Reviewer title said 8 Inch but this is the 5 Inch listing; size restored
1-CRUISE_PLACEHOLDER,B0GPRLLKBL,CCRUISE-47,Cruise,0,"Custom Birthday Custom Cruise Door Magnet 6 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",REVIEWER_TITLE,SIZE_CORRECTED,Reviewer title said 8 Inch but this is the 6 Inch listing; size restored,AUTO_FIXED_NEEDS_CONFIRM: Reviewer title said 8 Inch but this is the 6 Inch listing; size restored
3-RANDOM_SAMPLE_GENERAL,B0H6GN65S8,,General Magnet,17.98,"Ehlers-Danlos Syndrome Car Magnet 3.5x7 Inch Ribbon, Made in USA",64,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, EDS awareness",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
3-RANDOM_SAMPLE_GENERAL,B0C7J68W1K,,General Magnet,0,"SUCC It Up Cute Funny Plant Succulent Car Magnet 5 Inch, Funny Gift",67,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
3-RANDOM_SAMPLE_GENERAL,B0FH7NLLHF,,General Magnet,0,Sunny Cheeks Nude Beach Volleyball League Car Magnet 5 Inch Round,65,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
3-RANDOM_SAMPLE_GENERAL,B0DCGW5K99,,General Magnet,0,"Kamala Harris Waltz 2024 Car Magnet 4x6 Inch Oval, Election",59,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, political, made in USA",REVIEWER_TITLE,,Fixed typo 'mad in USA' in reviewer highlights,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
3-RANDOM_SAMPLE_GENERAL,B0DGVBZN9T,,General Magnet,0,People Kamala Harris Waltz 2024 Election Car Magnet 4x6 Inch 2 Pack,67,"for the People, heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
3-RANDOM_SAMPLE_GENERAL,B0FZLTZD5R,,General Magnet,0,"Trump 2028 Election Car Magnet 4x6 Inch, Made in USA",52,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
4-EXCLUDED_RULE_VIOLATION,B0DMQKV8HY,CDIEC-2,Photo Magnet,0,"Custom Photo Magnet, Photo Booth, Add Photo & Text",50,"Personalized picture refrigerator magnet, full color UV printed durable vinyl, keepsake gift",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row
4-EXCLUDED_RULE_VIOLATION,B0CZSFHRZX,,General Magnet,0,Kennedy 2024 Election Adhesive Decal Stickers 5.5x3.5 Inch 5 Pack,65,"Heavy-duty decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
4-EXCLUDED_RULE_VIOLATION,B01MS8VAW0,,General Magnet,0,Keep America ! Trump Republican Political Car Magnet 3x8 Inch,61,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA",KEPT_NEW_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
4-EXCLUDED_RULE_VIOLATION,B0CZS8TNTJ,,General Magnet,0,"Trump 2024 Donald Republican Political Stickers, 5.5 x 3.5 Inch 5 Pack",70,"Heavy-duty decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
4-EXCLUDED_RULE_VIOLATION,B0DQ2C76WC,,General Magnet,0,"Where My Ho's at? Christmas Car Magnet 5x4.5 Inch, Funny Gift, USA Made",71,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0H3M6PQ8F,,General Magnet,0,"Kelly Green Gallbladder Ribbon Car Magnet 3.5x7 Inch, Cancer Awareness",70,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0H34QRLXS,,General Magnet,0,"All Cancer Ribbon Car Magnet 3.5x7 Inch, Awareness",50,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0G6GDGW17,,General Magnet,0,"Funny Locker Magnet, Funny Gift",31,"Heavy duty magnet, full color UV printed, made to order",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0BMJHHM68,,General Magnet,0,Emoticon Magnet 5 Inch,22,"Heavy duty magnet, full color UV printed, made to order",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0DSQ9S86T,,General Magnet,0,Custom Sports Car Magnet,24,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0CVSF79VC,,Driver/Novelty,0,"New Driver Car Magnet, Funny Student Driver",43,"Heavy duty magnetic decal for car or any magnetic surface, UV printed",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0D94RGB4Q,,General Magnet,0,Customizable Magnet,19,"Heavy duty magnet, full color UV printed, made to order",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0BMH1NVKL,,General Magnet,0,"DeSantis 2024 Republican Party Election Magnet Decal, 4x6 Inch",62,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, made in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0G357LQZY,,Custom Vehicle,0,"Custom Car Magnet 30 Mil, Upload Logo, Made in USA",50,"Personalized magnetic business sign for vehicles & trucks, add your text, weatherproof",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0G6GDCNL5,,General Magnet,0,"Funny Car Magnet, Funny Gift, Made in USA",41,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",NO_FEEDBACK,NO_REVIEWER_FEEDBACK,,NOT_REVIEWED: no Jovelove feedback on this row | NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0DSGK7WQ2,,General Magnet,0,"Custom Rectangle Car Magnet 10x3 Inch 250 Pack, Image and Text",62,"Personalized magnetic decal, full color, made to order, crafted in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
5-EXCLUDED_NO_SKU_MATCH,B0DSGKTJ7V,,General Magnet,0,"Custom Rectangle Car Magnet 10x3 Inch 50 Pack, Image and Text",61,"Personalized magnetic decal, full color, made to order, crafted in USA",REVIEWER_TITLE,,,NO_SKU_FOUND: ASIN has no SKU in ad data (never advertised); look up in Seller Central
